mssubclass,mszoning,lotfrontage,lotarea,street,alley,lotshape,landcontour,utilities,lotconfig,landslope,neighborhood,condition1,condition2,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremodadd,roofstyle,roofmatl,exterior1st,exterior2nd,masvnrtype,masvnrarea,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,heating,heatingqc,centralair,electrical,1stflrsf,2ndflrsf,lowqualfinsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,totrmsabvgrd,functional,fireplaces,fireplacequ,garagetype,garageyrblt,garagefinish,garagecars,garagearea,garagequal,garagecond,paveddrive,wooddecksf,openporchsf,enclosedporch,3ssnporch,screenporch,poolarea,fence,miscfeature,miscval,mosold,yrsold,saletype,salecondition,saleprice
4.110873864173311,RL,4.189654742026425,9.042040056544483,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.2832037287379885,2,4,PConc,Gd,TA,No,GLQ,6.561030665896573,Unf,0.0,5.017279836814924,6.75343791859778,GasA,0,Y,SBrkr,6.75343791859778,6.75110146893676,0.0,7.444833273892193,1,0.0,2,1,3,0.6931471805599453,2,8,Typ,0,Gd,Attchd,2003.0,RFn,2,548,TA,TA,Y,0.0,4.127134385045092,0.0,0.0,0.0,0.0,MnPrv,Shed,0.0,2,2008,WD,Normal,12.24769911637256
3.044522437723423,RL,4.394449154672439,9.169622538697624,Pave,Grvl,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,3,4,CBlock,Gd,TA,Gd,ALQ,6.88653164253051,Unf,0.0,5.652489180268651,7.141245122350491,GasA,0,Y,SBrkr,7.141245122350491,0.0,0.0,7.141245122350491,0,0.6931471805599453,2,0,3,0.6931471805599453,3,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,5.700443573390687,0.0,0.0,0.0,0.0,0.0,MnPrv,Shed,0.0,5,2007,WD,Normal,12.109016442313738
4.110873864173311,RL,4.23410650459726,9.328212292571072,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.093750200806762,2,4,PConc,Gd,TA,Mn,GLQ,6.18826412308259,Unf,0.0,6.075346031088684,6.825460036255307,GasA,0,Y,SBrkr,6.825460036255307,6.7650389767805414,0.0,7.488293515159428,1,0.0,2,1,3,0.6931471805599453,2,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0.0,3.7612001156935624,0.0,0.0,0.0,0.0,MnPrv,Shed,0.0,9,2008,WD,Normal,12.317171167298682
4.2626798770413155,RL,4.110873864173311,9.164401140034737,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,BrkFace,0.0,3,4,BrkTil,TA,Gd,No,ALQ,5.37989735354046,Unf,0.0,6.293419278846481,6.6293632534374485,GasA,2,Y,SBrkr,6.8690144506657065,6.6293632534374485,0.0,7.4489161025442,1,0.0,1,0,3,0.6931471805599453,2,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0.0,3.58351893845611,5.60947179518496,0.0,0.0,0.0,MnPrv,Shed,0.0,2,2006,WD,Abnorml,11.849404844423074
4.110873864173311,RL,4.442651256490317,9.565283817736766,Pave,Grvl,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.860786223465865,2,4,PConc,Gd,TA,Av,GLQ,6.486160788944089,Unf,0.0,6.19644412779452,7.044032897274685,GasA,0,Y,SBrkr,7.044032897274685,6.960347729101308,0.0,7.695757990554761,1,0.0,2,1,4,0.6931471805599453,2,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0.0,MnPrv,Shed,0.0,12,2008,WD,Normal,12.429220196836383
3.9318256327243257,RL,4.454347296253507,9.55506418479516,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,3,4,Wood,Gd,TA,No,GLQ,6.597145701886651,Unf,0.0,4.174387269895637,6.680854678790215,GasA,0,Y,SBrkr,6.680854678790215,6.340359303727752,0.0,7.217443431696533,1,0.0,1,1,1,0.6931471805599453,3,5,Typ,0,Gd,Attchd,1993.0,Unf,2,480,TA,TA,Y,3.713572066704308,3.4339872044851463,0.0,5.771441123130016,0.0,0.0,MnPrv,Shed,6.55250788703459,10,2009,WD,Normal,11.870606902224587
3.044522437723423,RL,4.330733340286331,9.218804450388312,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,5.231108616854587,2,4,PConc,Ex,TA,Av,GLQ,7.222566018822171,Unf,0.0,5.762051382780177,7.430707082545968,GasA,0,Y,SBrkr,7.43543801981455,0.0,0.0,7.43543801981455,1,0.0,2,0,3,0.6931471805599453,2,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0.0,MnPrv,Shed,0.0,8,2007,WD,Normal,12.634606283893019
4.110873864173311,RL,4.248495242049359,9.247925132303454,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,5.484796933490655,3,4,CBlock,Gd,TA,Mn,ALQ,6.756932389247553,BLQ,3.4965075614664802,5.37989735354046,7.010311867307229,GasA,0,Y,SBrkr,7.010311867307229,6.891625897052253,0.0,7.645397699428633,1,0.0,2,1,3,0.6931471805599453,3,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,5.4638318050256105,5.3230099791384085,5.43372200355424,0.0,0.0,0.0,MnPrv,Shed,5.860786223465865,11,2009,WD,Normal,12.206077645517674
3.9318256327243257,RM,3.9512437185814275,8.71948076085107,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,BrkFace,0.0,3,4,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,6.859614903654202,6.859614903654202,GasA,2,Y,FuseF,6.930494765951626,6.6240652277998935,0.0,7.4815557019095165,0,0.0,2,0,2,1.0986122886681098,3,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0.0,MnPrv,Shed,0.0,4,2008,WD,Abnorml,11.774527900858468
5.25227342804663,RL,3.9318256327243257,8.912069097970134,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,3,4,BrkTil,TA,TA,No,GLQ,6.747586526829315,Unf,0.0,4.948759890378168,6.899723107284872,GasA,0,Y,SBrkr,6.982862751468942,0.0,0.0,6.982862751468942,1,0.0,1,0,2,1.0986122886681098,3,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,MnPrv,Shed,0.0,1,2008,WD,Normal,11.678448377988165
